ReturnID,SalesID,ProductID,RegionID,DepartmentID,ReturnDate,ReturnReason
82,140933,184,5,5,2023-03-05 09:00:00,Defective
83,181137,17,1,4,2024-05-11 04:00:00,Defective
84,184606,37,3,6,2024-06-14 07:15:00,Wrong Item
85,165916,42,4,4,2023-12-04 14:45:00,Wrong Item
86,152706,10,6,6,2023-07-29 00:15:00,Customer Changed Mind
87,129632,177,3,1,2022-11-15 15:45:00,Damaged
88,137981,130,1,5,2023-02-24 15:00:00,Defective
89,139031,104,7,6,2023-03-12 13:30:00,Customer Changed Mind
90,198081,173,4,5,2024-11-03 16:00:00,Defective
91,105676,103,6,5,2022-03-10 02:45:00,Wrong Item
92,168924,147,6,1,2024-01-08 22:45:00,Wrong Item
93,183385,86,5,2,2024-05-20 14:00:00,Defective
94,163630,176,5,6,2023-11-01 19:15:00,Damaged
95,176099,195,2,4,2024-03-14 16:30:00,Wrong Item
96,159393,19,8,1,2023-09-17 16:00:00,Wrong Item
97,165832,183,4,3,2023-12-10 17:45:00,Defective
98,103549,196,4,1,2022-03-05 23:00:00,Defective
99,115785,81,8,4,2022-07-06 10:00:00,Customer Changed Mind
100,136390,2,8,4,2023-01-29 01:15:00,Damaged
101,110518,117,1,4,2022-04-21 13:15:00,Defective
102,103997,82,3,1,2022-03-07 15:00:00,Damaged
103,162105,78,8,4,2023-10-15 22:00:00,Defective
104,113831,20,8,6,2022-06-15 01:30:00,Wrong Item
105,195773,148,8,5,2024-10-14 15:00:00,Damaged
106,171434,22,1,1,2024-02-05 02:15:00,Wrong Item
107,188660,92,6,4,2024-07-22 12:45:00,Customer Changed Mind
108,177983,99,4,3,2024-03-29 07:30:00,Damaged
109,169988,7,1,5,2024-01-18 00:45:00,Damaged
110,165744,69,3,3,2023-11-21 19:45:00,Damaged
111,104553,111,8,4,2022-03-18 10:00:00,Damaged
112,145551,142,4,3,2023-04-23 11:30:00,Customer Changed Mind
113,109165,40,2,1,2022-04-25 11:00:00,Damaged
114,133883,80,3,5,2023-01-15 22:30:00,Damaged
115,132236,34,6,5,2022-12-14 18:45:00,Defective
116,150788,198,7,4,2023-07-02 00:45:00,Defective
117,165379,150,5,2,2023-11-21 00:30:00,Defective
118,190266,158,8,3,2024-08-16 06:15:00,Defective
119,164972,126,6,5,2023-12-07 18:45:00,Wrong Item
120,174407,76,2,5,2024-03-14 01:30:00,Damaged
121,179448,35,5,1,2024-04-16 13:45:00,Damaged
122,122027,77,1,3,2022-08-26 10:30:00,Damaged
123,111013,9,8,4,2022-05-12 17:00:00,Wrong Item
124,104873,23,4,1,2022-03-05 18:00:00,Customer Changed Mind
125,193140,152,6,6,2024-09-14 04:45:00,Defective
126,183274,172,3,3,2024-06-01 10:15:00,Damaged
127,113248,128,7,3,2022-06-10 23:45:00,Customer Changed Mind
128,135512,181,2,3,2023-01-30 21:45:00,Defective
129,131181,100,8,4,2022-11-22 19:00:00,Customer Changed Mind
130,151858,98,6,5,2023-07-24 04:15:00,Damaged
131,189828,119,8,3,2024-08-09 16:45:00,Customer Changed Mind
132,196223,188,4,6,2024-10-16 07:30:00,Defective
133,116595,140,8,4,2022-07-17 20:30:00,Wrong Item
134,138066,78,5,4,2023-02-13 12:15:00,Customer Changed Mind
135,126513,196,6,2,2022-10-08 04:00:00,Customer Changed Mind
136,171615,145,1,6,2024-02-01 23:30:00,Wrong Item
137,175436,67,6,3,2024-03-02 18:45:00,Customer Changed Mind
138,176918,34,8,6,2024-04-04 05:15:00,Defective
139,138254,157,5,5,2023-02-25 11:15:00,Wrong Item
140,170547,29,4,1,2024-01-31 20:30:00,Damaged
141,153569,151,2,3,2023-07-28 00:00:00,Defective
142,138174,137,3,5,2023-02-13 15:15:00,Wrong Item
143,144872,75,4,4,2023-05-07 09:45:00,Customer Changed Mind
144,175762,26,8,6,2024-03-01 04:15:00,Customer Changed Mind
145,172651,192,4,3,2024-02-02 18:30:00,Wrong Item
146,146228,181,6,2,2023-05-09 12:45:00,Defective
147,191095,189,2,2,2024-08-23 21:30:00,Wrong Item
148,190305,32,1,3,2024-08-23 16:00:00,Damaged
149,156855,172,8,3,2023-09-07 05:30:00,Wrong Item
150,179487,44,3,3,2024-04-08 23:30:00,Customer Changed Mind
151,194669,171,1,1,2024-09-25 03:00:00,Wrong Item
152,115161,38,4,2,2022-06-18 22:00:00,Defective
153,159651,5,8,5,2023-09-25 08:30:00,Damaged
154,173167,70,6,5,2024-02-19 03:30:00,Wrong Item
155,166900,129,6,2,2023-12-09 20:45:00,Wrong Item
156,178016,149,2,1,2024-04-11 15:45:00,Customer Changed Mind
157,104836,35,6,6,2022-02-23 08:45:00,Wrong Item
158,122318,72,6,5,2022-09-10 11:15:00,Defective
159,119492,89,8,2,2022-08-09 00:45:00,Customer Changed Mind
160,103805,186,1,2,2022-02-14 15:00:00,Wrong Item
161,118660,8,7,1,2022-08-02 08:45:00,Wrong Item
162,163192,176,4,6,2023-10-31 05:45:00,Wrong Item
163,175453,100,4,1,2024-03-18 23:00:00,Defective
164,101647,194,5,1,2022-01-26 03:30:00,Damaged
165,178801,52,4,2,2024-04-16 20:00:00,Defective
166,186750,135,5,2,2024-06-29 15:15:00,Damaged
167,121639,107,8,4,2022-08-23 09:30:00,Defective
168,181849,140,2,6,2024-05-21 14:00:00,Wrong Item
169,184947,96,7,1,2024-06-16 20:30:00,Wrong Item
170,134081,36,3,6,2023-01-13 00:00:00,Wrong Item
171,114829,160,6,2,2022-06-08 11:00:00,Damaged
172,157608,200,1,6,2023-09-03 01:45:00,Damaged
173,173717,1,8,5,2024-02-08 21:00:00,Damaged
174,142220,14,5,6,2023-03-29 18:45:00,Damaged
175,154521,16,2,2,2023-08-04 22:00:00,Wrong Item
176,135172,49,3,3,2023-01-10 08:45:00,Wrong Item
177,186070,51,8,3,2024-07-11 13:15:00,Damaged
178,110332,54,1,3,2022-05-10 14:45:00,Wrong Item
179,169716,84,5,2,2023-12-31 04:45:00,Customer Changed Mind
180,178372,165,1,3,2024-04-25 08:45:00,Customer Changed Mind
181,115788,25,3,5,2022-07-01 10:45:00,Wrong Item
182,141184,67,7,1,2023-03-16 23:45:00,Damaged
183,166022,50,4,6,2023-11-24 17:15:00,Wrong Item
184,168530,128,5,2,2023-12-27 20:15:00,Damaged
185,120078,40,4,2,2022-08-26 03:15:00,Wrong Item
186,138117,110,7,2,2023-02-05 01:00:00,Customer Changed Mind
187,103529,169,3,1,2022-02-18 18:00:00,Defective
188,150048,188,7,3,2023-06-21 07:45:00,Defective
189,187628,18,1,3,2024-07-30 18:45:00,Defective
190,107405,29,2,2,2022-04-04 03:00:00,Damaged
191,178390,88,4,3,2024-04-15 13:15:00,Wrong Item
192,189516,148,4,4,2024-08-12 10:45:00,Damaged
193,169913,158,2,4,2024-01-11 06:00:00,Damaged
194,118107,116,3,6,2022-07-19 14:30:00,Wrong Item
195,166094,16,2,4,2023-11-25 11:15:00,Damaged
196,148003,42,5,6,2023-05-21 00:30:00,Defective
197,132474,77,2,2,2022-12-06 06:15:00,Defective
198,195771,123,6,4,2024-10-04 14:30:00,Damaged
199,136296,25,1,5,2023-02-05 01:45:00,Defective
200,140561,162,8,1,2023-03-18 12:00:00,Damaged
201,102867,84,6,3,2022-02-27 20:30:00,Damaged
202,188131,161,6,2,2024-07-26 00:30:00,Customer Changed Mind
203,113482,122,7,4,2022-06-05 10:15:00,Damaged
204,150382,50,3,4,2023-06-12 19:15:00,Defective
205,158134,139,1,5,2023-09-08 13:15:00,Customer Changed Mind
206,139005,140,6,2,2023-02-27 07:00:00,Defective
207,192942,145,4,1,2024-09-20 03:15:00,Customer Changed Mind
208,136406,146,5,5,2023-01-27 05:15:00,Customer Changed Mind
209,158683,40,4,5,2023-09-22 06:30:00,Damaged
210,152752,195,4,4,2023-07-31 11:45:00,Damaged
211,110813,153,6,1,2022-05-09 15:00:00,Customer Changed Mind
212,186490,136,7,2,2024-07-16 22:15:00,Customer Changed Mind
213,101730,153,8,6,2022-01-29 00:15:00,Damaged
214,190658,175,4,6,2024-08-31 08:15:00,Wrong Item
215,190082,28,7,3,2024-08-13 08:15:00,Wrong Item
216,177193,6,4,4,2024-03-20 02:00:00,Customer Changed Mind
217,129178,110,6,6,2022-11-26 22:15:00,Damaged
218,144691,38,6,4,2023-04-16 12:30:00,Customer Changed Mind
219,115705,170,4,4,2022-06-16 14:00:00,Damaged
220,146535,86,5,1,2023-05-28 17:30:00,Wrong Item
221,192092,1,7,1,2024-09-10 06:45:00,Defective
222,105303,125,7,3,2022-03-13 05:30:00,Damaged
223,146872,130,3,2,2023-05-15 05:45:00,Damaged
224,114569,11,5,1,2022-06-29 18:00:00,Customer Changed Mind
225,177779,112,5,2,2024-03-25 04:30:00,Wrong Item
226,130359,161,6,5,2022-11-25 05:30:00,Damaged
227,122400,135,5,4,2022-08-29 07:45:00,Damaged
228,118569,2,2,4,2022-07-28 10:00:00,Wrong Item
229,142560,3,8,2,2023-04-11 07:45:00,Damaged
230,161848,72,3,4,2023-10-31 05:45:00,Customer Changed Mind
231,100435,109,5,5,2022-01-14 12:30:00,Customer Changed Mind
232,142073,31,4,3,2023-03-26 06:00:00,Defective
233,164190,100,8,4,2023-11-14 15:15:00,Customer Changed Mind
234,135350,95,2,5,2023-01-26 05:15:00,Customer Changed Mind
235,100121,199,5,6,2022-01-24 06:00:00,Damaged
236,132209,138,3,4,2022-12-03 12:00:00,Defective
237,172816,79,4,5,2024-02-02 11:45:00,Customer Changed Mind
238,101581,84,7,2,2022-01-26 11:00:00,Wrong Item
239,139338,43,4,3,2023-02-15 18:15:00,Customer Changed Mind
240,152165,67,6,4,2023-07-03 09:00:00,Customer Changed Mind
241,164328,130,8,5,2023-11-15 01:45:00,Defective
242,171527,63,6,1,2024-01-26 01:30:00,Customer Changed Mind
243,157559,53,2,5,2023-08-29 13:30:00,Wrong Item
244,181817,89,3,3,2024-05-13 06:00:00,Defective
245,151844,79,4,3,2023-07-12 00:45:00,Wrong Item
246,112035,128,4,6,2022-05-24 08:30:00,Damaged
247,149476,77,7,6,2023-06-13 08:45:00,Wrong Item
248,118875,177,5,2,2022-07-21 14:30:00,Wrong Item
249,153916,173,4,2,2023-07-24 14:45:00,Defective
250,158547,29,5,4,2023-09-24 20:30:00,Wrong Item
251,166808,113,6,4,2023-12-18 21:45:00,Defective
252,111984,96,6,5,2022-05-08 19:45:00,Customer Changed Mind
253,163519,146,3,3,2023-11-21 15:30:00,Wrong Item
254,109906,200,2,5,2022-04-16 04:15:00,Wrong Item
255,118878,84,8,5,2022-08-01 15:15:00,Damaged
256,197335,145,7,3,2024-11-07 21:30:00,Defective
257,190148,50,1,5,2024-08-02 00:45:00,Defective
258,143444,84,8,5,2023-04-01 12:45:00,Defective
259,174581,63,6,5,2024-03-16 21:00:00,Customer Changed Mind
260,167316,133,7,1,2023-12-22 04:45:00,Damaged
261,168860,58,3,5,2023-12-22 06:45:00,Customer Changed Mind
262,114005,167,4,2,2022-06-13 21:00:00,Wrong Item
263,155787,100,4,1,2023-09-01 02:30:00,Customer Changed Mind
264,135618,111,2,6,2023-01-10 00:15:00,Wrong Item
265,135962,115,6,4,2023-01-23 14:15:00,Damaged
266,131255,114,6,2,2022-12-18 13:30:00,Defective
267,197259,90,3,5,2024-10-15 02:30:00,Damaged
268,136922,50,8,6,2023-02-06 14:15:00,Damaged
269,108618,150,3,4,2022-04-14 18:15:00,Defective
270,116452,149,5,2,2022-07-09 08:45:00,Defective
271,175387,135,3,6,2024-03-10 06:30:00,Customer Changed Mind
272,134293,97,5,1,2023-01-07 05:00:00,Damaged
273,143734,67,8,3,2023-04-24 13:15:00,Wrong Item
274,188181,139,8,3,2024-07-12 13:00:00,Defective
275,153350,59,6,1,2023-08-04 17:15:00,Defective
276,103920,101,7,6,2022-03-08 19:45:00,Customer Changed Mind
277,125663,140,2,3,2022-10-08 07:30:00,Wrong Item
278,163101,82,2,5,2023-11-12 07:00:00,Defective
279,143185,50,8,2,2023-04-14 20:00:00,Wrong Item
280,167470,199,2,3,2024-01-01 19:15:00,Customer Changed Mind
281,116222,47,7,2,2022-07-10 23:15:00,Wrong Item
282,189317,14,5,4,2024-07-30 09:00:00,Wrong Item
283,160147,15,2,3,2023-09-20 12:30:00,Defective
284,151151,27,8,6,2023-06-24 19:30:00,Damaged
285,107223,186,7,3,2022-04-14 05:30:00,Customer Changed Mind
286,157274,184,7,2,2023-08-28 14:15:00,Customer Changed Mind
287,155792,132,6,1,2023-08-26 03:45:00,Defective
288,168297,23,2,4,2023-12-22 10:00:00,Damaged
289,170587,132,1,3,2024-02-02 06:30:00,Wrong Item
290,182207,69,7,4,2024-05-26 07:30:00,Wrong Item
291,146745,188,5,5,2023-05-14 22:00:00,Damaged
292,137228,187,2,5,2023-02-13 18:45:00,Damaged
293,120012,40,5,1,2022-08-02 10:45:00,Damaged
294,179516,58,4,1,2024-04-27 06:45:00,Defective
295,101418,154,2,3,2022-01-25 18:15:00,Damaged
296,100854,76,7,5,2022-01-19 21:15:00,Wrong Item
297,184338,147,4,3,2024-06-15 12:15:00,Defective
298,198370,193,8,4,2024-11-16 16:15:00,Customer Changed Mind
299,174792,137,7,1,2024-03-16 01:45:00,Damaged
300,140692,199,5,1,2023-03-08 20:45:00,Defective
301,132126,30,6,1,2022-12-20 15:15:00,Defective
302,152498,110,7,3,2023-07-23 20:15:00,Defective
303,158468,157,7,1,2023-09-15 00:45:00,Defective
304,112260,96,7,5,2022-05-23 16:45:00,Defective
305,131106,200,3,5,2022-12-02 00:15:00,Customer Changed Mind
306,192655,90,7,6,2024-09-18 03:30:00,Damaged
307,191336,196,2,5,2024-09-06 09:45:00,Wrong Item
308,112039,41,1,4,2022-05-12 09:30:00,Damaged
309,111427,125,6,6,2022-05-04 00:30:00,Customer Changed Mind
310,185586,47,3,6,2024-06-11 12:15:00,Damaged
311,140991,68,2,3,2023-03-18 23:30:00,Customer Changed Mind
312,173820,2,4,3,2024-02-19 22:45:00,Damaged
313,159301,50,3,6,2023-10-05 17:00:00,Wrong Item
314,155144,8,1,6,2023-08-27 09:45:00,Customer Changed Mind
315,152185,23,4,3,2023-07-07 14:00:00,Defective
316,169101,92,2,1,2024-01-18 19:00:00,Wrong Item
317,182183,3,4,5,2024-05-27 01:30:00,Customer Changed Mind
318,144047,74,6,2,2023-04-07 19:30:00,Damaged
319,133795,155,2,3,2022-12-20 00:30:00,Wrong Item
320,176565,41,1,2,2024-03-14 13:00:00,Wrong Item
321,157002,175,3,4,2023-08-23 18:15:00,Customer Changed Mind
322,189074,123,1,3,2024-07-29 20:15:00,Customer Changed Mind
323,181037,85,2,4,2024-04-30 03:00:00,Damaged
324,105763,5,5,5,2022-03-31 00:30:00,Damaged
325,180999,77,4,6,2024-04-30 17:30:00,Damaged
326,132392,197,2,5,2022-12-19 09:45:00,Defective
327,105297,100,1,2,2022-03-03 04:00:00,Damaged
328,199556,23,6,4,2024-11-05 00:45:00,Customer Changed Mind
329,121698,39,7,2,2022-08-19 00:15:00,Customer Changed Mind
330,159253,84,1,3,2023-09-16 05:00:00,Customer Changed Mind
331,152080,22,8,2,2023-07-02 11:45:00,Customer Changed Mind
332,149210,164,7,5,2023-06-19 14:15:00,Wrong Item
333,120704,152,6,2,2022-08-06 15:45:00,Defective
334,115703,148,2,1,2022-06-18 13:30:00,Wrong Item
335,114332,106,7,2,2022-06-12 06:45:00,Defective
336,157322,73,3,2,2023-09-12 02:15:00,Damaged
337,174009,187,3,5,2024-02-26 22:00:00,Wrong Item
338,186865,70,5,4,2024-07-03 20:00:00,Customer Changed Mind
339,102726,78,6,5,2022-02-20 09:15:00,Damaged
340,113285,112,5,4,2022-05-20 09:00:00,Wrong Item
341,148744,84,1,4,2023-06-15 17:45:00,Defective
342,164378,84,3,1,2023-11-10 14:15:00,Wrong Item
343,185069,2,4,4,2024-07-03 03:00:00,Defective
344,184100,14,6,3,2024-06-19 00:45:00,Wrong Item
345,162417,58,4,6,2023-10-27 04:00:00,Defective
346,181408,32,7,5,2024-05-23 23:45:00,Defective
347,134295,48,7,4,2023-01-19 05:30:00,Defective
348,169754,116,3,4,2024-01-18 14:15:00,Wrong Item
349,108268,156,6,6,2022-04-11 02:45:00,Customer Changed Mind
350,148770,152,2,6,2023-05-27 00:15:00,Defective
351,185626,76,6,3,2024-07-03 22:15:00,Wrong Item
352,117071,26,7,4,2022-07-26 19:30:00,Defective
353,162513,141,7,2,2023-10-23 04:00:00,Damaged
354,133909,11,2,5,2022-12-24 05:00:00,Damaged
355,196916,170,1,2,2024-10-18 12:45:00,Customer Changed Mind
356,111326,118,7,4,2022-05-10 23:15:00,Wrong Item
357,106093,171,1,3,2022-03-10 11:00:00,Customer Changed Mind
358,172972,112,4,5,2024-02-13 02:45:00,Customer Changed Mind
359,198172,195,8,4,2024-11-08 14:45:00,Defective
360,154000,49,7,2,2023-08-04 11:45:00,Customer Changed Mind
361,199435,61,7,2,2024-11-09 18:30:00,Customer Changed Mind
362,126122,108,4,4,2022-10-18 02:15:00,Defective
363,172237,78,5,4,2024-02-16 11:00:00,Customer Changed Mind
364,100955,178,1,3,2022-01-20 22:30:00,Damaged
365,188572,144,3,5,2024-07-20 14:45:00,Wrong Item
366,159954,40,3,3,2023-09-21 12:15:00,Wrong Item
367,182894,151,8,2,2024-05-14 11:15:00,Defective
368,182742,102,4,2,2024-05-26 21:15:00,Customer Changed Mind
369,112509,116,5,4,2022-06-05 07:00:00,Customer Changed Mind
370,113659,8,7,4,2022-05-29 06:30:00,Damaged
371,106121,200,8,5,2022-03-08 18:00:00,Customer Changed Mind
372,189244,5,1,2,2024-08-15 14:45:00,Damaged
373,131827,130,5,3,2022-12-06 12:30:00,Defective
374,199906,134,3,2,2024-11-07 16:15:00,Customer Changed Mind
375,175872,26,2,2,2024-03-24 07:45:00,Damaged
376,169011,161,7,4,2024-01-08 20:30:00,Customer Changed Mind
377,143208,123,2,5,2023-04-18 01:45:00,Customer Changed Mind
378,108938,75,3,6,2022-05-03 02:15:00,Defective
379,193260,22,1,1,2024-09-23 10:45:00,Customer Changed Mind
380,100253,134,1,6,2022-01-10 15:00:00,Wrong Item
381,116719,194,3,1,2022-07-12 03:30:00,Defective
382,153627,199,8,5,2023-08-01 14:30:00,Customer Changed Mind
383,180906,105,3,4,2024-05-10 18:15:00,Defective
384,157099,116,3,2,2023-09-08 18:30:00,Customer Changed Mind
385,117886,134,3,6,2022-07-08 07:15:00,Damaged
386,117182,23,4,5,2022-07-03 23:15:00,Wrong Item
387,163289,174,1,1,2023-11-14 06:00:00,Damaged
388,164800,200,5,6,2023-11-23 23:45:00,Wrong Item
389,199548,4,7,1,2024-11-12 22:45:00,Defective
390,137196,115,6,3,2023-02-01 10:45:00,Wrong Item
391,179960,128,2,3,2024-04-16 21:45:00,Damaged
392,144485,165,5,4,2023-04-22 09:00:00,Wrong Item
393,185625,70,5,4,2024-07-09 22:00:00,Defective
394,180486,118,5,2,2024-04-27 09:15:00,Wrong Item
395,140842,111,2,1,2023-03-25 10:15:00,Defective
396,106489,30,6,2,2022-03-29 14:00:00,Damaged
397,184410,10,1,5,2024-06-02 06:15:00,Defective
398,118351,31,6,1,2022-07-28 03:30:00,Defective
399,108522,44,8,4,2022-04-06 18:15:00,Damaged
400,160890,111,1,6,2023-10-21 06:15:00,Defective
401,184983,66,1,5,2024-06-21 05:30:00,Wrong Item
402,116184,155,8,5,2022-06-25 13:45:00,Damaged
403,148642,77,3,3,2023-05-29 16:15:00,Customer Changed Mind
404,103492,174,8,6,2022-02-19 08:45:00,Customer Changed Mind
405,164624,153,4,2,2023-11-17 03:45:00,Customer Changed Mind
406,172455,146,3,5,2024-02-07 17:30:00,Customer Changed Mind
407,112915,146,1,2,2022-06-06 12:30:00,Defective
408,103173,180,7,2,2022-02-24 01:00:00,Wrong Item
409,197713,62,3,6,2024-11-12 20:00:00,Wrong Item
410,167525,127,8,3,2023-12-22 09:00:00,Wrong Item
411,133138,132,8,3,2022-12-13 04:15:00,Damaged
412,129377,46,6,6,2022-11-15 00:00:00,Customer Changed Mind
413,195300,25,2,6,2024-09-28 16:45:00,Wrong Item
414,196336,44,1,2,2024-10-02 11:45:00,Defective
415,176994,198,5,2,2024-04-09 00:15:00,Wrong Item
416,109234,148,1,5,2022-05-04 04:15:00,Wrong Item
417,129532,156,8,2,2022-11-29 14:45:00,Customer Changed Mind
418,161851,188,7,6,2023-10-24 06:30:00,Customer Changed Mind
419,176945,7,5,5,2024-03-13 12:00:00,Defective
420,149519,27,1,1,2023-06-26 19:30:00,Wrong Item
421,198771,101,4,6,2024-11-01 20:30:00,Defective
422,174490,192,8,4,2024-03-05 22:15:00,Wrong Item
423,170047,90,3,4,2024-01-13 15:30:00,Defective
424,180836,38,7,6,2024-05-14 00:45:00,Damaged
425,148862,7,3,5,2023-06-19 23:15:00,Damaged
426,145718,51,1,3,2023-04-26 05:15:00,Damaged
427,111167,3,5,6,2022-05-22 07:30:00,Wrong Item
428,140558,28,2,1,2023-03-24 11:15:00,Damaged
429,174363,73,6,3,2024-03-12 14:30:00,Customer Changed Mind
430,164156,117,8,1,2023-11-09 06:45:00,Wrong Item
431,115505,31,3,5,2022-07-02 12:00:00,Damaged
432,115953,36,3,3,2022-06-19 04:00:00,Customer Changed Mind
433,172929,199,1,3,2024-02-01 16:00:00,Wrong Item
434,103760,7,6,6,2022-03-03 03:45:00,Wrong Item
435,110920,148,6,4,2022-05-15 17:45:00,Customer Changed Mind
436,157487,123,5,4,2023-09-18 19:30:00,Defective
437,151197,114,7,6,2023-06-24 07:00:00,Defective
438,161777,77,8,6,2023-10-17 12:00:00,Customer Changed Mind
439,199712,200,8,3,2024-11-15 15:45:00,Customer Changed Mind
440,131497,118,5,6,2022-12-07 02:00:00,Damaged
441,127697,71,4,3,2022-11-04 12:00:00,Damaged
442,180752,87,2,5,2024-05-10 03:45:00,Defective
443,130753,193,6,5,2022-12-04 08:00:00,Wrong Item
444,152341,195,2,4,2023-07-11 05:00:00,Wrong Item
445,134673,43,2,1,2023-01-19 04:00:00,Customer Changed Mind
446,157167,148,7,4,2023-09-09 11:30:00,Defective
447,122753,133,3,2,2022-09-10 00:00:00,Defective
448,127431,95,3,5,2022-10-24 17:30:00,Defective
449,166272,198,1,1,2023-12-07 07:45:00,Damaged
450,159303,43,7,3,2023-10-03 17:30:00,Wrong Item
451,195016,26,6,6,2024-10-01 17:45:00,Defective
452,183908,137,4,3,2024-06-21 00:45:00,Defective
453,160661,174,2,5,2023-10-17 21:00:00,Wrong Item
454,173270,73,3,6,2024-02-20 05:15:00,Defective
455,183083,53,4,2,2024-06-12 10:30:00,Customer Changed Mind
456,118519,81,8,5,2022-07-31 21:30:00,Wrong Item
