FeedbackID,ProductID,RegionID,Rating,FeedbackDate,Comment
78,22,5,1,2023-09-25,Would not buy again.
79,55,5,2,2023-09-07,Great product!
80,87,2,4,2023-05-05,Fast delivery.
81,88,8,2,2023-07-18,Exceeded expectations.
82,37,6,4,2023-08-12,Fast delivery.
83,54,1,4,2023-11-14,Great product!
84,113,6,1,2023-08-27,Fast delivery.
85,169,7,5,2023-04-05,Great product!
86,161,6,2,2023-03-08,Not as described.
87,120,1,3,2023-03-02,Fast delivery.
88,58,4,4,2023-11-24,Exceeded expectations.
89,111,1,4,2023-12-02,Would not buy again.
90,13,5,3,2023-02-12,Poor packaging.
91,195,8,2,2023-03-08,Poor packaging.
92,163,7,5,2023-02-02,Poor packaging.
93,156,5,4,2023-05-23,Poor packaging.
94,175,5,3,2023-07-25,Good value for money.
95,166,7,5,2023-03-06,Great product!
96,168,1,3,2023-06-21,Poor packaging.
97,81,1,3,2023-04-28,Would not buy again.
98,114,8,1,2023-02-14,Fast delivery.
99,112,7,1,2023-05-07,Exceeded expectations.
100,76,7,5,2023-12-03,Exceeded expectations.
101,89,3,1,2023-06-21,Good value for money.
102,153,1,2,2023-09-24,Not as described.
103,57,1,1,2023-01-12,Would not buy again.
104,135,1,1,2023-12-23,Would not buy again.
105,109,8,4,2023-05-26,Not as described.
106,114,6,3,2023-02-18,Great product!
107,20,3,5,2023-05-16,Exceeded expectations.
108,46,7,4,2023-03-26,Exceeded expectations.
109,176,3,4,2023-03-22,Great product!
110,191,7,2,2023-04-30,Exceeded expectations.
111,90,5,1,2023-03-29,Good value for money.
112,24,8,2,2023-06-17,Good value for money.
113,63,3,1,2023-08-17,Would not buy again.
114,187,3,1,2023-02-20,Poor packaging.
115,163,7,3,2023-09-12,Would not buy again.
116,144,5,3,2023-09-15,Exceeded expectations.
117,84,3,4,2023-11-12,Good value for money.
118,72,3,1,2023-08-04,Would not buy again.
119,197,4,5,2023-07-13,Poor packaging.
120,141,4,3,2023-04-13,Not as described.
121,155,5,4,2023-09-08,Poor packaging.
122,92,1,4,2023-10-23,Not as described.
123,56,1,3,2023-01-19,Good value for money.
124,189,2,2,2023-08-27,Poor packaging.
125,91,8,4,2023-10-04,Exceeded expectations.
126,3,1,4,2023-04-30,Great product!
127,98,2,2,2023-09-07,Good value for money.
128,157,3,2,2023-11-30,Great product!
129,63,4,3,2023-09-26,Great product!
130,116,4,4,2023-11-08,Would not buy again.
131,77,7,2,2023-04-11,Exceeded expectations.
132,78,2,3,2023-02-08,Exceeded expectations.
133,179,6,3,2023-04-04,Great product!
134,177,8,4,2023-05-16,Fast delivery.
135,197,7,5,2023-03-26,Good value for money.
136,57,1,5,2023-05-07,Good value for money.
137,197,6,1,2023-01-19,Exceeded expectations.
138,174,4,4,2023-08-12,Poor packaging.
139,11,2,4,2023-04-25,Not as described.
140,109,4,5,2023-06-01,Fast delivery.
141,98,4,4,2023-11-10,Great product!
142,156,4,4,2023-04-28,Not as described.
143,13,5,2,2023-12-01,Great product!
144,144,2,4,2023-06-28,Would not buy again.
145,146,4,2,2023-03-08,Poor packaging.
146,26,4,3,2023-05-09,Fast delivery.
147,83,5,2,2023-08-09,Great product!
148,68,6,3,2023-06-07,Not as described.
149,189,3,1,2023-10-10,Fast delivery.
150,100,1,4,2023-09-19,Exceeded expectations.
151,78,6,2,2023-04-06,Fast delivery.
152,194,8,5,2023-06-14,Not as described.
153,122,1,5,2023-07-18,Poor packaging.
154,88,7,5,2023-01-04,Would not buy again.
155,52,5,4,2023-03-12,Not as described.
156,91,2,2,2023-11-20,Great product!
157,121,1,2,2023-02-02,Would not buy again.
158,65,1,5,2023-06-18,Exceeded expectations.
159,91,1,4,2023-01-02,Good value for money.
160,86,8,3,2023-09-08,Great product!
161,126,8,5,2023-10-15,Exceeded expectations.
162,194,6,1,2023-12-31,Not as described.
163,41,1,3,2023-04-14,Would not buy again.
164,156,2,5,2023-10-08,Not as described.
165,31,4,3,2023-10-27,Good value for money.
166,13,6,2,2023-08-20,Exceeded expectations.
167,143,2,5,2023-02-10,Fast delivery.
168,161,5,5,2023-02-16,Poor packaging.
169,88,8,4,2023-08-07,Would not buy again.
170,17,7,2,2023-05-02,Great product!
171,12,3,2,2023-05-25,Exceeded expectations.
172,71,5,4,2023-05-28,Not as described.
173,103,6,4,2023-02-21,Not as described.
174,39,1,3,2023-02-13,Great product!
175,76,3,3,2023-11-11,Fast delivery.
176,139,6,5,2023-01-15,Poor packaging.
177,166,7,4,2023-03-31,Good value for money.
178,87,8,1,2023-11-05,Great product!
179,175,8,1,2023-10-30,Exceeded expectations.
180,30,5,5,2023-03-21,Not as described.
181,72,6,4,2023-09-07,Good value for money.
182,147,1,3,2023-07-23,Poor packaging.
183,154,8,2,2023-01-16,Great product!
184,52,7,4,2023-01-04,Great product!
185,67,3,4,2023-07-30,Would not buy again.
186,166,6,3,2023-02-17,Fast delivery.
187,173,6,1,2023-01-08,Good value for money.
188,131,6,4,2023-12-13,Not as described.
189,162,4,4,2023-10-12,Exceeded expectations.
190,151,2,2,2023-05-22,Poor packaging.
191,50,5,3,2023-12-01,Not as described.
192,134,4,2,2023-12-12,Good value for money.
193,75,4,1,2023-05-30,Great product!
194,191,7,5,2023-11-01,Not as described.
195,105,5,4,2023-03-04,Great product!
196,146,2,3,2023-05-24,Great product!
197,116,7,2,2023-12-15,Not as described.
198,53,8,3,2023-07-13,Exceeded expectations.
199,26,4,2,2023-12-31,Great product!
200,120,3,3,2023-11-05,Exceeded expectations.
201,144,3,4,2023-01-23,Good value for money.
202,191,7,3,2023-11-25,Would not buy again.
203,74,3,5,2023-02-19,Fast delivery.
204,5,7,3,2023-05-27,Good value for money.
205,62,8,4,2023-06-09,Fast delivery.
206,133,7,5,2023-05-08,Great product!
207,49,6,3,2023-06-14,Would not buy again.
208,48,5,1,2023-06-08,Great product!
209,54,6,3,2023-06-13,Would not buy again.
210,39,7,1,2023-11-25,Not as described.
211,132,7,2,2023-05-29,Poor packaging.
212,52,5,3,2023-03-25,Would not buy again.
213,90,6,4,2023-05-11,Not as described.
214,135,8,1,2023-12-02,Exceeded expectations.
215,112,1,3,2023-09-15,Exceeded expectations.
216,113,6,3,2023-08-26,Great product!
217,190,4,4,2023-09-02,Would not buy again.
218,130,3,4,2023-05-27,Would not buy again.
219,51,4,4,2023-09-20,Poor packaging.
220,118,6,3,2023-07-19,Would not buy again.
221,122,6,5,2023-08-01,Good value for money.
222,8,7,2,2023-09-17,Would not buy again.
223,123,4,1,2023-06-09,Fast delivery.
224,60,8,4,2023-10-17,Great product!
225,157,3,5,2023-04-15,Fast delivery.
226,94,6,3,2023-12-09,Fast delivery.
227,101,5,5,2023-04-17,Not as described.
228,126,7,1,2023-03-28,Would not buy again.
229,53,6,4,2023-01-23,Would not buy again.
230,193,5,1,2023-09-26,Exceeded expectations.
231,60,6,1,2023-10-21,Fast delivery.
232,77,1,5,2023-12-06,Would not buy again.
233,49,7,5,2023-10-30,Fast delivery.
234,176,3,1,2023-06-29,Good value for money.
235,157,7,4,2023-01-17,Would not buy again.
236,9,6,3,2023-07-09,Good value for money.
237,111,7,1,2023-10-24,Not as described.
238,66,2,5,2023-03-29,Good value for money.
239,110,8,5,2023-09-17,Would not buy again.
240,160,5,5,2023-05-24,Would not buy again.
241,119,6,2,2023-08-18,Fast delivery.
242,180,5,3,2023-11-25,Great product!
243,178,2,5,2023-03-24,Would not buy again.
244,107,7,4,2023-11-26,Great product!
245,3,2,2,2023-12-20,Great product!
246,118,8,4,2023-03-13,Not as described.
247,118,4,3,2023-04-27,Good value for money.
248,11,2,4,2023-03-27,Good value for money.
249,178,2,4,2023-10-21,Not as described.
250,79,5,1,2023-05-28,Not as described.
251,118,6,2,2023-03-17,Exceeded expectations.
252,111,2,4,2023-12-25,Not as described.
253,197,7,1,2023-07-20,Poor packaging.
254,55,2,5,2023-07-24,Not as described.
255,131,1,5,2023-05-28,Exceeded expectations.
256,101,3,5,2023-03-07,Good value for money.
257,115,3,3,2023-11-14,Great product!
258,160,5,2,2023-07-03,Exceeded expectations.
259,38,4,5,2023-02-11,Exceeded expectations.
260,95,7,2,2023-07-21,Great product!
261,200,7,1,2023-03-21,Would not buy again.
262,21,5,4,2023-11-04,Would not buy again.
263,19,5,5,2023-10-02,Not as described.
264,191,2,2,2023-04-02,Poor packaging.
265,19,8,2,2023-01-15,Great product!
266,27,3,1,2023-11-15,Great product!
267,106,8,2,2023-06-29,Not as described.
268,54,1,3,2023-05-07,Not as described.
269,178,5,5,2023-07-09,Great product!
270,7,1,2,2023-05-27,Poor packaging.
271,116,3,4,2023-11-11,Good value for money.
272,51,6,3,2023-05-31,Fast delivery.
273,12,1,5,2023-08-08,Not as described.
274,5,5,5,2023-05-02,Great product!
275,156,7,5,2023-12-15,Poor packaging.
276,18,4,5,2023-06-28,Exceeded expectations.
277,163,1,5,2023-09-19,Poor packaging.
278,24,7,2,2023-05-24,Poor packaging.
279,62,5,4,2023-09-05,Not as described.
280,126,2,2,2023-09-19,Fast delivery.
281,106,2,2,2023-03-09,Fast delivery.
282,182,7,2,2023-11-12,Great product!
283,98,4,1,2023-10-21,Poor packaging.
284,143,8,4,2023-07-25,Not as described.
285,174,8,4,2023-10-16,Good value for money.
286,30,5,1,2023-02-05,Exceeded expectations.
287,19,1,5,2023-09-17,Great product!
288,140,3,3,2023-01-28,Good value for money.
289,43,7,2,2023-11-22,Exceeded expectations.
290,126,2,4,2023-02-16,Not as described.
291,194,7,4,2023-06-30,Exceeded expectations.
292,9,5,4,2023-05-30,Not as described.
293,75,7,3,2023-02-21,Poor packaging.
294,155,8,3,2023-01-04,Exceeded expectations.
295,24,5,3,2023-01-29,Would not buy again.
296,88,4,4,2023-01-11,Poor packaging.
297,49,5,2,2023-11-24,Poor packaging.
298,173,7,5,2023-02-11,Exceeded expectations.
299,86,6,5,2023-03-23,Exceeded expectations.
300,162,7,1,2023-04-08,Good value for money.
301,131,1,3,2023-12-23,Poor packaging.
302,115,3,2,2023-04-05,Fast delivery.
303,161,7,2,2023-07-09,Great product!
304,126,7,3,2023-10-30,Would not buy again.
305,3,1,5,2023-08-22,Poor packaging.
306,7,6,4,2023-05-16,Exceeded expectations.
307,53,6,2,2023-10-26,Great product!
308,148,8,4,2023-04-06,Poor packaging.
309,90,6,3,2023-08-17,Great product!
310,121,8,3,2023-11-27,Fast delivery.
311,118,2,1,2023-12-10,Would not buy again.
312,95,5,3,2023-03-16,Great product!
313,119,1,2,2023-11-01,Great product!
314,58,6,4,2023-10-19,Not as described.
315,161,3,1,2023-09-27,Great product!
316,187,8,5,2023-07-21,Poor packaging.
317,150,8,4,2023-07-29,Great product!
318,76,5,3,2023-10-15,Good value for money.
319,109,7,5,2023-01-19,Good value for money.
320,102,2,4,2023-05-01,Great product!
321,25,8,4,2023-05-15,Not as described.
322,3,1,2,2023-04-28,Great product!
323,61,8,5,2023-10-02,Would not buy again.
324,82,2,4,2023-10-01,Not as described.
325,136,4,1,2023-02-22,Would not buy again.
326,75,1,2,2023-09-06,Not as described.
327,123,3,2,2023-07-19,Would not buy again.
328,126,4,3,2023-08-03,Not as described.
329,184,4,2,2023-07-01,Great product!
330,6,4,2,2023-05-19,Not as described.
331,41,7,2,2023-10-21,Exceeded expectations.
332,150,2,1,2023-09-10,Good value for money.
333,120,3,3,2023-04-06,Not as described.
334,194,3,1,2023-03-03,Poor packaging.
335,23,6,4,2023-07-28,Poor packaging.
336,82,7,1,2023-06-22,Exceeded expectations.
337,190,5,2,2023-12-04,Good value for money.
338,187,2,1,2023-09-07,Poor packaging.
339,127,2,4,2023-03-07,Not as described.
340,185,4,3,2023-03-30,Poor packaging.
341,119,3,3,2023-02-04,Good value for money.
342,166,7,4,2023-07-25,Fast delivery.
343,62,2,4,2023-09-01,Poor packaging.
344,125,3,5,2023-06-17,Great product!
345,115,5,2,2023-01-06,Not as described.
346,92,7,4,2023-08-13,Not as described.
347,118,1,4,2023-08-26,Would not buy again.
348,75,3,3,2023-11-02,Great product!
349,2,7,1,2023-07-23,Fast delivery.
350,15,5,5,2023-02-18,Not as described.
351,53,8,5,2023-06-19,Would not buy again.
352,11,5,3,2023-01-06,Would not buy again.
353,127,7,4,2023-12-03,Good value for money.
354,186,3,4,2023-12-03,Great product!
355,21,3,2,2023-04-05,Not as described.
356,150,4,2,2023-11-28,Exceeded expectations.
357,69,8,2,2023-01-17,Would not buy again.
358,197,4,4,2023-01-19,Poor packaging.
359,15,5,4,2023-05-01,Would not buy again.
360,86,8,5,2023-09-17,Would not buy again.
361,77,4,2,2023-06-25,Exceeded expectations.
362,109,8,2,2023-09-26,Not as described.
363,189,7,2,2023-02-06,Exceeded expectations.
364,129,7,5,2023-03-07,Poor packaging.
365,100,4,5,2023-09-26,Not as described.
366,100,7,4,2023-02-07,Not as described.
367,53,8,4,2023-11-15,Exceeded expectations.
368,60,6,1,2023-02-02,Great product!
369,11,4,4,2023-08-12,Not as described.
370,191,4,3,2023-03-09,Would not buy again.
371,83,3,3,2023-02-23,Good value for money.
372,24,6,5,2023-11-08,Exceeded expectations.
373,170,1,5,2023-01-19,Great product!
374,102,1,1,2023-10-27,Great product!
375,48,7,4,2023-09-19,Not as described.
376,16,5,3,2023-11-01,Good value for money.
377,60,1,4,2023-06-09,Great product!
378,54,1,4,2023-02-14,Not as described.
379,99,5,4,2023-03-19,Great product!
380,77,1,3,2023-06-08,Exceeded expectations.
381,48,2,2,2023-03-06,Poor packaging.
382,26,6,1,2023-07-12,Fast delivery.
383,49,8,1,2023-03-08,Poor packaging.
384,76,6,1,2023-03-14,Would not buy again.
385,49,2,1,2023-07-06,Would not buy again.
386,154,3,3,2023-04-23,Would not buy again.
387,100,7,2,2023-10-14,Exceeded expectations.
388,107,1,2,2023-06-12,Not as described.
389,162,2,5,2023-02-27,Good value for money.
390,56,2,5,2023-07-14,Good value for money.
391,105,4,5,2023-01-05,Fast delivery.
392,200,3,3,2023-06-16,Poor packaging.
393,95,6,4,2023-02-07,Fast delivery.
394,197,4,2,2023-08-27,Exceeded expectations.
395,66,7,4,2023-12-21,Great product!
396,114,2,1,2023-03-11,Fast delivery.
397,172,5,5,2023-05-19,Would not buy again.
398,179,2,4,2023-01-25,Would not buy again.
399,102,7,4,2023-05-20,Exceeded expectations.
400,91,7,1,2023-02-25,Fast delivery.
401,185,4,4,2023-03-13,Good value for money.
402,129,8,3,2023-05-29,Good value for money.
403,126,4,5,2023-05-07,Not as described.
404,122,5,4,2023-10-01,Great product!
405,49,1,4,2023-08-03,Not as described.
406,126,5,3,2023-03-17,Great product!
407,70,1,1,2023-02-09,Would not buy again.
408,93,5,3,2023-06-13,Not as described.
409,117,5,4,2023-11-10,Great product!
410,199,1,1,2023-09-27,Poor packaging.
411,145,2,1,2023-09-08,Exceeded expectations.
412,171,7,1,2023-03-02,Exceeded expectations.
413,75,5,2,2023-01-28,Exceeded expectations.
414,16,4,2,2023-09-01,Would not buy again.
415,148,6,4,2023-03-05,Good value for money.
416,1,2,2,2023-05-28,Poor packaging.
417,33,6,1,2023-12-26,Would not buy again.
418,197,8,2,2023-09-28,Not as described.
419,52,8,1,2023-01-11,Good value for money.
420,30,6,2,2023-05-28,Would not buy again.
421,71,2,2,2023-06-02,Great product!
422,116,3,3,2023-05-05,Poor packaging.
423,7,4,5,2023-04-04,Poor packaging.
424,48,7,3,2023-11-19,Great product!
425,182,7,3,2023-05-25,Would not buy again.
426,190,1,2,2023-03-30,Poor packaging.
427,42,4,2,2023-07-16,Poor packaging.
428,36,7,1,2023-07-23,Great product!
429,51,2,2,2023-03-09,Not as described.
430,134,4,1,2023-03-09,Would not buy again.
431,157,6,4,2023-08-13,Not as described.
432,88,2,1,2023-01-07,Would not buy again.
433,78,2,4,2023-12-31,Would not buy again.
434,55,6,2,2023-12-01,Fast delivery.
435,111,7,5,2023-10-24,Poor packaging.
436,63,6,4,2023-03-09,Fast delivery.
437,149,4,1,2023-02-12,Would not buy again.
438,184,5,5,2023-07-16,Great product!
439,187,6,3,2023-08-25,Fast delivery.
440,11,3,5,2023-09-01,Great product!
441,196,1,5,2023-01-27,Exceeded expectations.
442,187,1,2,2023-09-26,Good value for money.
443,76,6,5,2023-12-20,Would not buy again.
444,153,4,5,2023-08-02,Poor packaging.
445,110,1,2,2023-06-21,Exceeded expectations.
446,3,8,5,2023-11-30,Would not buy again.
447,178,5,3,2023-08-25,Poor packaging.
448,196,8,4,2023-10-04,Would not buy again.
449,71,1,1,2023-11-13,Not as described.
450,139,5,3,2023-11-24,Poor packaging.
451,155,4,3,2023-07-19,Not as described.
452,84,1,1,2023-05-09,Poor packaging.
453,177,3,2,2023-12-06,Fast delivery.
454,50,6,1,2023-05-15,Great product!
455,134,5,3,2023-09-06,Would not buy again.
456,74,6,1,2023-02-28,Not as described.
457,70,3,1,2023-04-29,Great product!
458,152,3,5,2023-11-02,Poor packaging.
459,103,1,2,2023-04-27,Not as described.
460,147,3,2,2023-05-19,Would not buy again.
461,24,5,4,2023-11-01,Good value for money.
462,112,7,1,2023-04-23,Great product!
463,42,8,5,2023-05-29,Fast delivery.
464,22,3,3,2023-07-08,Poor packaging.
465,74,2,3,2023-11-18,Good value for money.
466,63,1,3,2023-05-31,Exceeded expectations.
467,151,4,3,2023-03-28,Good value for money.
468,21,2,4,2023-05-05,Exceeded expectations.
469,137,7,1,2023-01-18,Good value for money.
470,141,6,5,2023-04-24,Great product!
471,122,6,2,2023-02-20,Not as described.
472,105,8,2,2023-11-16,Great product!
473,176,6,4,2023-05-26,Great product!
474,155,4,3,2023-06-09,Poor packaging.
475,83,8,1,2023-09-15,Fast delivery.
476,80,7,2,2023-06-11,Good value for money.
477,68,5,1,2023-04-24,Great product!
478,99,5,5,2023-11-24,Good value for money.
479,92,7,4,2023-12-30,Fast delivery.
480,125,3,1,2023-08-08,Fast delivery.
481,98,3,3,2023-04-06,Fast delivery.
482,139,8,2,2023-07-23,Good value for money.
483,69,5,2,2023-12-19,Exceeded expectations.
484,36,8,2,2023-05-01,Exceeded expectations.
485,114,2,3,2023-04-07,Not as described.
486,96,5,2,2023-01-06,Good value for money.
487,161,8,5,2023-03-26,Would not buy again.
488,50,4,1,2023-04-17,Poor packaging.
489,172,1,4,2023-08-20,Exceeded expectations.
490,20,7,4,2023-01-08,Good value for money.
491,9,6,2,2023-12-19,Great product!
492,123,2,3,2023-12-23,Fast delivery.
493,83,7,5,2023-09-30,Fast delivery.
494,169,6,3,2023-10-16,Not as described.
495,70,5,2,2023-09-18,Poor packaging.
496,48,8,4,2023-09-01,Great product!
497,41,6,4,2023-06-29,Fast delivery.
498,43,7,3,2023-06-16,Fast delivery.
499,104,8,5,2023-07-02,Not as described.
500,65,6,1,2023-10-20,Not as described.
501,129,4,4,2023-07-01,Would not buy again.
502,19,1,1,2023-02-16,Fast delivery.
503,55,4,3,2023-05-17,Good value for money.
504,129,1,5,2023-09-22,Would not buy again.
505,27,3,3,2023-02-17,Would not buy again.
506,25,5,4,2023-03-24,Would not buy again.
507,19,4,4,2023-05-13,Would not buy again.
508,190,3,1,2023-06-30,Not as described.
509,83,4,1,2023-09-04,Great product!
510,130,6,1,2023-07-06,Good value for money.
511,29,4,4,2023-05-26,Not as described.
512,175,3,3,2023-03-04,Exceeded expectations.
513,200,8,2,2023-08-24,Good value for money.
514,64,5,3,2023-09-08,Great product!
515,101,6,3,2023-01-17,Good value for money.
516,142,8,4,2023-10-10,Good value for money.
517,42,2,3,2023-02-04,Fast delivery.
518,97,5,1,2023-08-22,Great product!
519,5,7,1,2023-08-24,Fast delivery.
520,2,4,2,2023-04-24,Exceeded expectations.
521,134,6,1,2023-06-13,Poor packaging.
522,84,3,4,2023-03-26,Not as described.
523,94,8,4,2023-06-15,Would not buy again.
524,71,2,5,2023-08-03,Would not buy again.
525,49,4,5,2023-03-03,Poor packaging.
526,19,4,1,2023-10-20,Poor packaging.
527,131,6,1,2023-07-21,Would not buy again.
528,18,1,5,2023-02-21,Fast delivery.
529,3,1,2,2023-12-27,Good value for money.
530,97,2,4,2023-04-28,Poor packaging.
531,41,1,3,2023-05-11,Great product!
532,141,7,2,2023-07-04,Poor packaging.
533,75,7,4,2023-10-14,Great product!
534,113,5,1,2023-01-20,Great product!
535,55,7,5,2023-11-19,Good value for money.
536,112,1,1,2023-06-25,Great product!
537,31,3,4,2023-05-22,Great product!
538,28,6,2,2023-12-25,Great product!
539,192,2,4,2023-08-07,Exceeded expectations.
540,197,7,3,2023-05-04,Not as described.
541,91,3,1,2023-04-02,Fast delivery.
542,54,6,1,2023-09-30,Great product!
543,89,4,1,2023-06-19,Fast delivery.
544,177,2,3,2023-07-04,Poor packaging.
545,22,8,2,2023-03-24,Exceeded expectations.
546,93,4,5,2023-10-04,Great product!
547,169,2,3,2023-09-12,Fast delivery.
548,86,5,4,2023-02-02,Good value for money.
549,79,8,3,2023-12-08,Poor packaging.
550,51,6,5,2023-02-27,Not as described.
551,183,2,3,2023-07-09,Exceeded expectations.
552,145,7,4,2023-03-06,Exceeded expectations.
553,50,2,3,2023-08-21,Would not buy again.
554,150,8,5,2023-10-06,Poor packaging.
555,157,1,1,2023-12-10,Great product!
556,196,4,1,2023-06-20,Exceeded expectations.
557,77,4,5,2023-05-22,Great product!
558,192,1,4,2023-10-08,Not as described.
559,197,8,2,2023-05-31,Poor packaging.
560,29,7,4,2023-02-14,Good value for money.
561,103,2,1,2023-11-22,Not as described.
562,108,4,1,2023-12-25,Fast delivery.
563,61,3,4,2023-08-22,Exceeded expectations.
564,51,4,3,2023-05-27,Would not buy again.
565,91,2,1,2023-11-12,Exceeded expectations.
566,62,7,4,2023-09-24,Not as described.
567,128,4,5,2023-11-12,Fast delivery.
568,78,5,2,2023-01-29,Great product!
569,121,1,3,2023-07-26,Great product!
570,44,7,2,2023-01-02,Great product!
571,188,2,2,2023-05-28,Would not buy again.
572,139,4,5,2023-11-17,Good value for money.
573,189,5,1,2023-09-14,Fast delivery.
574,54,7,1,2023-04-15,Poor packaging.
575,9,5,1,2023-07-10,Great product!
576,52,4,4,2023-04-19,Not as described.
577,60,2,1,2023-12-30,Great product!
578,116,3,3,2023-01-26,Poor packaging.
579,2,1,1,2023-07-17,Would not buy again.
580,135,3,2,2023-05-30,Good value for money.
581,6,8,4,2023-04-04,Fast delivery.
582,56,4,1,2023-05-04,Great product!
583,87,7,1,2023-09-26,Poor packaging.
584,33,7,3,2023-11-01,Exceeded expectations.
585,109,8,5,2023-01-29,Exceeded expectations.
586,107,8,5,2023-01-15,Great product!
587,30,2,2,2023-06-25,Would not buy again.
588,170,5,5,2023-02-12,Fast delivery.
589,174,1,2,2023-10-26,Fast delivery.
590,100,7,5,2023-01-23,Fast delivery.
591,52,5,2,2023-12-28,Good value for money.
592,130,6,2,2023-05-30,Not as described.
593,10,1,5,2023-12-16,Poor packaging.
594,145,2,4,2023-07-20,Would not buy again.
595,190,5,4,2023-11-15,Poor packaging.
596,9,2,2,2023-02-22,Poor packaging.
597,71,6,1,2023-01-21,Not as described.
598,56,7,2,2023-02-24,Great product!
599,23,3,4,2023-09-07,Poor packaging.
600,91,3,5,2023-03-20,Good value for money.
601,185,1,5,2023-06-14,Exceeded expectations.
602,191,5,2,2023-04-18,Not as described.
603,143,1,4,2023-02-19,Poor packaging.
604,164,1,5,2023-10-14,Fast delivery.
605,73,6,3,2023-10-27,Exceeded expectations.
606,54,2,1,2023-08-09,Exceeded expectations.
607,144,4,4,2023-07-28,Fast delivery.
608,181,6,1,2023-08-05,Would not buy again.
609,72,7,5,2023-10-14,Good value for money.
610,18,3,2,2023-09-27,Not as described.
611,107,4,2,2023-01-19,Good value for money.
612,3,2,1,2023-11-17,Exceeded expectations.
613,94,1,5,2023-05-23,Exceeded expectations.
614,21,7,1,2023-05-24,Not as described.
615,7,3,5,2023-09-10,Poor packaging.
616,13,1,3,2023-08-22,Exceeded expectations.
617,69,1,5,2023-07-04,Great product!
618,156,8,2,2023-08-26,Great product!
619,174,6,5,2023-03-26,Good value for money.
620,170,8,1,2023-12-16,Poor packaging.
621,142,1,4,2023-01-03,Exceeded expectations.
622,92,6,1,2023-01-25,Not as described.
623,185,2,3,2023-01-06,Poor packaging.
